FATP-QT,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD [rpc] cyg_eload_SetEloadOn,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp _SYS_Curr-56kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_SYS_CURR-10kohm_5V,CC_Rp_SYS_CURR-22kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,MIX FW,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provide,PHASE3_Vol_IDBUS_provider,PHASE5:P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,2.5,88,84,10.15,1.85,0.08,4.9,66,77,10.15,1.95,0.08,3000,6,5000,NA,2540,0.19,5.25,5.15,1,3.6,1.426,4,5000,1040,3000,6,9000,2540,0.19,9.45,9.1,1500,1.426,3.6,4,5000,1540,1500,3.6,3.6,4,5000,1540,20,3001,1591,501,5,5,5,5001,5001,5001,20,20,258,624,1301,3,NA,NA,4900,11.5,3.84,20,4.16,0.7,0.24,3.84,18,235,88.5,0.24,9,3.35,5,4,140,165,2960,5,0.1,8,11.5,0,4,1,0.22,0.23,-30,9100,13,9.61,16.75,9.5,8.5,8.2,146,8.2,12
Lower Limit ----->,,,,,,,,,,,,2.35,54,13,9.9,1.5,0,4.7,43,25,9.9,1.8,0,3000,6,5000,NA,2480,0.08,4.75,4.4,1,1.398,0.25,4,5000,980,3000,6,9000,2480,0.08,8.75,8.6,1500,0.25,1.398,4,5000,1480,1500,1.398,1.398,4,5000,1480,1,2999,1499,499,5,5,5,4999,4999,4999,1,1,258,624,1301,3,NA,NA,4750,5.7,2.07,17.5,2.24,0.1,0.08,2.07,15,205,73.5,0.08,1,2.75,5,4,80,80,2740,5,-0.3,2,10.5,0,4,1,0.19,0.19,-40,8900,7,6.79,14.25,6.5,6.5,6.2,116,6.2,8
Measurement Unit ----->,,,,,,,,,,,,V,ns,ns,us,V,V,V,ns,ns,us,V,V,mA,NA,mV,NA,mA,ohms,V,V,A,V,V,NA,mV,mA,mA,NA,mV,mA,ohms,V,V,mA,V,V,NA,mV,mA,mA,V,V,NA,mV,mA,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,NA,NA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mV,NA,mA,mA,mA,NA,NA,NA,mA,mA,mA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 12:32,2019/12/5 12:37,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.427005059,73,53.5,10.002,1.685459773,0.000029,4.813711857,51,53,10.003,1.902209025,0.001509,3000,6,5000,,2513.623081,0.146945394,5.065372611,4.696007278,1,1.786,0.868,4,5000,1010.645077,3000,6,9000,2508.626392,0.146965277,9.035749827,8.667068856,1500,0.868,1.786,4,5000,1520.866763,1500,1.786,1.786,4,5000,1510.728398,16.42177794,3000,1500,500,5,5,5,5000,5000,5000,16.44844847,16.4327979,258,624,1301,3,33,,4806.519629,7.493912769,2.684730334,18.91537081,2.708637667,0.403883517,0.137174241,2.703521425,16.55514098,219.0789236,81.15133323,0.159710935,2.12238282,3.057556142,5,4,116.9482679,122.6651292,2822.204158,5,-0.021102502,3.232250607,11.00610206,0,4,1,0.199335659,0.205357375,-36.61782518,8984.856083,9.387851377,8.111316285,15.55602555,6.421651335,7.356162384,7.292528368,131.7927469,7.308020222,9.371272716
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 12:50,2019/12/5 12:54,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427079745,70,54.5,10.009,1.678751977,0.000192,4.813726794,50,50,10.014,1.897031468,0.002262,3000,6,5000,,2513.635933,0.146002766,5.065253114,4.698255316,1,1.786,0.868,4,5000,1010.590756,3000,6,9000,2508.637016,0.146128275,9.035675159,8.66909236,1500,0.868,1.786,4,5000,1513.904952,1500,1.786,1.786,4,5000,1509.121332,16.41772615,3000,1500,500,5,5,5,5000,5000,5000,16.44751344,16.4382077,258,624,1301,3,33,,4806.542034,8.943929457,2.696381975,18.93146914,2.718035638,0.397910929,0.147518317,2.683376677,16.55591727,219.0488012,81.16031637,0.176430299,2.532533662,3.056217041,5,4,116.9706301,123.1615311,2821.980101,5,-0.021063604,3.231960876,11.0054901,0,4,1,0.19935123,0.205288743,-36.61405696,8984.968086,10.21647878,8.116100178,15.55479076,6.395524296,7.351303289,7.292802496,131.819388,7.325714802,8.603045592
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 12:55,2019/12/5 12:59,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427012528,73,55.5,10.002,1.691584972,0.000918,4.813726794,51,53,10.002,1.897377865,0.002387,3000,6,5000,,2513.706894,0.145847116,5.065260582,4.698643681,1,1.786,0.868,4,5000,1010.68958,3000,6,9000,2510.522384,0.145902541,9.035772228,8.669480634,1500,0.868,1.786,4,5000,1519.277996,1500,1.786,1.786,4,5000,1510.73501,16.41703601,3000,1500,500,5,5,5,5000,5000,5000,16.4412354,16.43598144,258,624,1301,3,33,,4806.609252,8.953417187,2.686137362,18.93550343,2.723416304,0.386977358,0.152539948,2.683721156,16.55563344,219.0558902,81.16240265,0.180988582,2.201287933,3.051192983,5,4,116.2498029,123.1987949,2821.905415,5,-0.020959977,3.230659609,11.00620406,0,4,1,0.199404474,0.205394377,-36.6151167,8985.087554,10.21828608,8.112427352,15.56350948,6.397477153,7.36926957,7.296189065,131.8551123,7.31978588,8.624294128
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 13:30,2019/12/5 13:35,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427079745,70,52.5,10.003,1.684728947,0.000627,4.813726794,49,54,10.003,1.898696831,0.001936,3000,6,5000,,2512.587852,0.144413953,5.065521982,4.702669237,1,1.786,0.868,4,5000,1010.438213,3000,6,9000,2508.662563,0.144376658,9.036026099,8.673833781,1500,0.868,1.786,4,5000,1521.030838,1500,1.786,1.786,4,5000,1510.728331,16.42266844,3000,1500,500,5,5,5,5000,5000,5000,16.42634176,16.4322636,258,624,1301,3,33,,4806.45988,8.601689509,2.681736763,18.90837691,2.712834489,0.398662961,0.147256319,2.681739189,16.55130319,218.96504,81.17169145,0.155368558,2.297332092,3.053398135,5,4,117.1494776,123.145109,2822.278843,5,-0.021181886,3.232893395,11.00554165,0,4,1,0.199369548,0.205275188,-36.61686127,8985.042754,10.20661989,8.108383362,15.55767031,6.396147755,7.349064175,7.29402758,131.8123935,7.308789235,8.644070137
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 13:35,2019/12/5 13:40,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.426975185,74,55.5,10.002,1.695186803,0.000057,4.813644639,52,57,10.003,1.902486136,0.000862,3000,6,5000,,2512.315898,0.143840975,5.065492108,4.704118139,1,1.786,0.868,4,5000,1010.575195,3000,6,9000,2510.661301,0.143833458,9.036018632,8.674901534,1500,0.868,1.786,4,5000,1520.807055,1500,1.786,1.786,4,5000,1510.532065,16.42208961,3000,1500,500,5,5,5,5000,5000,5000,16.44726855,16.42956983,258,624,1301,3,33,,4806.392663,8.226345607,2.68079551,18.90935456,2.714105665,0.387947721,0.13240733,2.682367499,16.55894965,219.0318815,81.13679475,0.158621702,2.253978674,3.0545747,5,4,117.115048,123.1717876,2822.353529,5,-0.020995944,3.233873548,11.00541836,0,4,1,0.199316547,0.205384974,-36.61496539,8984.878484,10.19224638,8.121206716,15.56926131,6.399184993,7.369698956,7.293404121,131.8143854,7.320241951,8.681021581
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 13:40,2019/12/5 13:45,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.426967717,74,53.5,10.004,1.686973211,0.000635,4.813614765,52,56,10.005,1.898497522,0.001789,3000,6,5000,,2513.708008,0.14346123,5.065462234,4.70484259,1,1.786,0.868,4,5000,1008.987408,3000,6,9000,2508.741343,0.143562567,9.035936498,8.675775151,1500,0.868,1.786,4,5000,1517.153303,1500,1.786,1.786,4,5000,1510.800462,16.41961847,3000,1500,500,5,5,5,5000,5000,5000,16.42754394,16.4317293,258,624,1301,3,33,,4806.415069,8.924973405,2.682661034,18.91667352,2.710406154,0.40459916,0.132235091,2.699052901,16.54543491,219.0065385,81.1575945,0.163150874,2.122824336,3.043861887,5,4,116.4283857,122.1999085,2822.263906,5,-0.020852075,3.232319537,11.0060124,0,4,1,0.199344635,0.20538644,-36.61387034,8984.945685,10.20268264,8.109732167,15.5585024,6.407348176,7.352770964,7.290810825,131.7991616,7.309461212,8.580307548
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 13:46,2019/12/5 13:51,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427005059,70,54.5,9.997,1.682751059,0.000105,4.813614765,49,53,10.004,1.89799578,0.001787,3000,6,5000,,2513.469932,0.14328762,5.065619073,4.705469949,1,1.786,0.868,4,5000,1008.96815,3000,6,9000,2510.809862,0.143304522,9.0360933,8.676282893,1500,0.868,1.786,4,5000,1518.889492,1500,1.786,1.786,4,5000,1509.244889,16.41839403,3000,1500,500,5,5,5,5000,5000,5000,16.44005549,16.41990788,258,624,1301,3,33,,4806.35532,8.95754851,2.679609241,18.92939499,2.710704541,0.395210893,0.132543181,2.694067658,16.55067245,219.0453973,81.1359287,0.156896881,2.357957981,3.055506249,5,4,116.1996065,123.2220331,2822.263906,5,-0.020956557,3.230421436,11.00592777,0,4,1,0.199363686,0.20524191,-36.61448232,8984.908351,10.24642177,8.11102275,15.5591671,6.399607101,7.351393047,7.301011772,131.794336,7.30851996,8.748820883
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 13:51,2019/12/5 13:56,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.426990122,73,53.5,9.998,1.679686401,0.000083,4.813644639,51,52,10.002,1.899260531,0.001812,3000,6,5000,,2513.346405,0.143122312,5.065544388,4.70582844,1,1.786,0.868,4,5000,1010.691316,3000,6,9000,2508.776445,0.143265907,9.036055966,8.676633833,1500,0.868,1.786,4,5000,1514.856075,1500,1.786,1.786,4,5000,1510.826198,16.4048584,3000,1500,500,5,5,5,5000,5000,5000,16.42694285,16.42266844,258,624,1301,3,33,,4806.4076,8.943019742,2.698822439,18.91085862,2.695421315,0.412151014,0.13183239,2.679813017,16.56199902,219.0512418,81.12981299,0.161867568,2.776747485,3.064695592,5,4,116.9842371,122.0995476,2822.34606,5,-0.020950145,3.233105789,11.00608749,0,4,1,0.199337308,0.205342842,-36.61190778,8985.095021,10.19488577,8.109213022,15.55746411,6.396504364,7.355507389,7.293474473,131.8095623,7.304626376,9.038137203
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 13:56,2019/12/5 14:00,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.426997591,73,52.5,9.998,1.686413847,0.000797,4.813637171,51,52,10.005,1.897405246,0.002283,3000,6,5000,,2512.810382,0.143075565,5.065462234,4.705940469,1,1.786,0.868,4,5000,1010.665558,3000,6,9000,2508.814821,0.143207167,9.035973832,8.676693568,1500,0.868,1.786,4,5000,1513.116836,1500,1.786,1.786,4,5000,1509.091344,16.42173341,3000,1500,500,5,5,5,5000,5000,5000,16.44165839,16.43756208,258,624,1301,3,33,,4806.549503,8.946661031,2.701922751,18.92227495,2.71845532,0.412774473,0.135490661,2.68559881,16.56539529,219.0685593,81.14753183,0.161920938,3.436686888,3.070258201,5,4,117.1868797,122.2354823,2822.413277,5,-0.020747959,3.234474866,11.00565205,0,4,1,0.199394277,0.205487189,-36.61179177,8985.117422,10.16290016,8.115389386,15.56898475,6.399131623,7.368379261,7.295893104,131.7493027,7.318267261,8.733469732
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 14:07,2019/12/5 14:11,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427042402,75,55.5,10.002,1.686475408,0.000082,4.813674514,50,54,10.002,1.897413891,0.002388,3000,6,5000,,2513.727942,0.142955004,5.065514513,4.706164526,1,1.786,0.868,4,5000,1010.664557,3000,6,9000,2508.784775,0.143143405,9.036123168,8.677007173,1500,0.868,1.786,4,5000,1513.937344,1500,1.786,1.786,4,5000,1510.833166,16.42854575,3000,1500,500,5,5,5,5000,5000,5000,16.43506868,16.43364387,258,624,1301,3,33,,4806.444943,8.930892623,2.686139788,18.9132166,2.723091232,0.39635107,0.149063621,2.688027145,16.56613762,219.0615309,81.13540471,0.163036856,2.15051366,3.05361404,5,4,116.6392358,123.1267012,2822.644803,5,-0.02078069,3.233676285,11.00606732,0,4,1,0.199337674,0.205381738,-36.60900092,8985.072621,10.20830832,8.109669093,15.55766789,6.414955827,7.351252345,7.30319509,131.8245483,7.309310806,8.551397992
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 14:14,2019/12/5 14:18,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.428064391,75,56.5,10.003,1.687167588,0.000846,4.818289914,55,58,10.004,1.906229909,0.003207,3000,6,5000,,2512.872457,0.14307614,5.082818674,4.723286581,1,1.786,0.868,4,5000,1010.410769,3000,6,9000,2507.309931,0.14304889,9.076023151,8.717355248,1500,0.868,1.76,4,5000,1525.039332,1500,1.786,1.76,4,5000,1510.354257,16.33938058,3000,1500,500,5,5,5,5000,5000,5000,16.34494312,16.3570917,258,624,1301,3,33,,4809.593426,8.807257188,2.666302704,18.89259601,2.701543808,0.377445053,0.134586776,2.669249366,16.52186239,221.0357612,81.26386574,0.156634596,3.430720097,3.03897416,5,4,116.3678408,122.6744586,2822.74136,5,-0.022132868,3.243701223,11.01327556,0,4,1,0.1985319,0.204422005,-36.40169326,9028.36374,9.84611428,8.139466046,15.54397573,6.405567861,7.375322705,7.319935166,131.1655245,7.349942611,9.346282853
